Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA18978,JPT,East Asian Ancestry,Japanese,-6.154720228413192,-4.9687453283338145,-8.577131,-22.649626,-2.9927658038353293,-1.7495045156748792,,,,,
NA18980,JPT,East Asian Ancestry,Japanese,-6.431777560448017,-4.84002028752269,-3.6728733,-29.14899,-3.2733974980236766,-2.408187485565943,,,,,
NA18981,JPT,East Asian Ancestry,Japanese,-5.90404075669475,-4.139317441372108,-11.41715,-23.606302,-2.10590619218068,-1.3322099493367099,,,,,
NA18982,JPT,East Asian Ancestry,Japanese,-6.137399540676746,-4.502886642604838,-9.842176,-21.804266,-2.0999861387878846,-1.3567955323044218,,,,,
NA18983,JPT,East Asian Ancestry,Japanese,-7.562209266190445,-5.61597650944081,-13.586089,-27.685684,-3.602902004297964,-1.870584710861185,,,,,
NA18984,JPT,East Asian Ancestry,Japanese,-6.743948031371085,-5.972862850374528,-9.846497,-19.95838,-2.801158331070752,-1.4053046819759398,,,,,
NA18985,JPT,East Asian Ancestry,Japanese,-6.338825454472122,-4.885199087692576,-15.911292,-22.71109,-3.6631662197112504,-1.5177628500408518,,,,,
NA18986,JPT,East Asian Ancestry,Japanese,-6.593483552408101,-5.313002953657885,-8.684985,-32.463017,-3.368452681614646,-1.812102965349379,,,,,
NA18987,JPT,East Asian Ancestry,Japanese,-5.697246492845961,-5.502789992323158,-13.272744,-26.47819,-2.3969169721300663,-1.7231753785913,,,,,
NA18988,JPT,East Asian Ancestry,Japanese,-6.8511473804307705,-5.97459159338421,-13.096461,-23.23356,-3.263446343121358,-2.4632310586309636,,,,,
NA18989,JPT,East Asian Ancestry,Japanese,-5.911613441080242,-3.827966078829882,-11.491587,-21.496395,-2.666286800030882,-2.8326057778701497,,,,,
NA18990,JPT,East Asian Ancestry,Japanese,-6.553273078463109,-5.876459948442226,-10.121407,-28.13426,-3.0680032464255733,-2.568839357404463,,,,,
