Sample,Population code,Superpopulation name,Population name,pc1_global,pc2_global,tsne1,tsne2,pc1_aims,pc2_aims,pc1_eur,pc2_eur,pc1_afr,pc2_afr,pc3_afr
NA19438,LWK,African Ancestry,Luhya,10.19545526510495,-3.8231228596203666,20.477476,-2.8824866,5.082054115044201,-0.7416623872991566,,,1.301300995381994,1.908746947383274,4.682629125106811
NA19439,LWK,African Ancestry,Luhya,10.677877694818447,-4.136493948690725,19.611038,-6.557853,6.618555535965435,-1.4475188838215431,,,1.3836620006782456,3.865373956070354,0.016521624251550487
NA19440,LWK,African Ancestry,Luhya,8.744008810357734,-3.579902362711935,20.22142,-5.0259748,4.320712150180611,-0.4094481214581025,,,-0.40123206958383273,-0.8013818458005713,3.849061463856047
NA19443,LWK,African Ancestry,Luhya,11.034457805224902,-3.4405780035800726,22.419897,-8.419584,4.797892782731201,-0.25298478731577756,,,2.114199431601071,2.5267626679496176,2.5113128466305876
NA19444,LWK,African Ancestry,Luhya,9.230222452574694,-3.0795295574321466,18.419807,-4.7567983,4.449578277975835,-1.328490739543867,,,-0.7427258520964488,3.8551267720387985,-1.2433384064585065
NA19445,LWK,African Ancestry,Luhya,9.442260816316177,-3.5175936054147305,17.590078,-5.6842566,4.264144597651107,-1.3136728612425128,,,0.3329268023921485,3.2428347032460936,0.8084984715541326
NA19446,LWK,African Ancestry,Luhya,10.586573456763194,-3.165505150493426,18.812017,-4.8461266,5.8746044552881695,-0.45135576130027166,,,1.3682298296719073,3.8459574266964176,0.1917640523436815
NA19448,LWK,African Ancestry,Luhya,9.789078475831408,-3.8549225189354397,15.533396,-5.189104,4.962403028740633,-1.0734723355072457,,,0.32449551397425525,1.1306679013205678,-0.7668325698232725
NA19449,LWK,African Ancestry,Luhya,10.877650132096893,-3.4487943943353523,22.521189,-3.2280557,5.655778961496458,-0.7759218333587317,,,2.296444958069145,2.2476612278794423,0.43868929167761733
NA19451,LWK,African Ancestry,Luhya,10.557232400490363,-3.344341316714769,15.450899,-5.142613,5.103239338459433,-2.6740697677809315,,,1.5317458146240304,0.9463686167872917,-0.09601020645333082
NA19452,LWK,African Ancestry,Luhya,8.973286711258805,-3.5879447728525635,15.481484,-5.1405587,3.8103209055755167,-1.4324512209517755,,,-0.028806983286659732,-0.051105232152678114,0.6274471620472786
NA19453,LWK,African Ancestry,Luhya,9.770238580654981,-3.510845631419227,17.664898,-5.621484,5.224016306798912,-1.0417709470073881,,,0.5872933416574277,3.6899635730274993,0.32756540526870276
NA19455,LWK,African Ancestry,Luhya,9.802468381025065,-3.086202352146624,20.366678,-4.6829944,5.439618701316047,-1.0453989339055259,,,0.6444432045232247,2.749783843243826,1.5553969279872646
NA19456,LWK,African Ancestry,Luhya,10.282012430411283,-4.8547926698336505,21.028152,-6.241499,5.488785859307945,-1.6421312774631156,,,1.868752840975463,4.2374597697786225,-0.9483861681193101
NA19457,LWK,African Ancestry,Luhya,9.234525329518371,-3.1114689833372315,20.12991,1.6725899,3.753552746045461,-0.4490862415866199,,,-0.14002558897041825,0.43839830414629777,0.2711011557367696
NA19461,LWK,African Ancestry,Luhya,8.11958167193304,-2.848177646803822,20.090656,-2.9612994,4.110295987093057,-1.548761816259336,,,-1.235620580990199,1.7867296533957766,-0.24676477970817356
NA19462,LWK,African Ancestry,Luhya,9.993493816652526,-5.368681298720566,21.09851,-5.9555044,5.5283433712253025,-0.9894452106387441,,,1.8843140306631176,2.4297360290906895,-0.06984427637376844
NA19463,LWK,African Ancestry,Luhya,9.548171501749481,-3.3107827945240187,24.976402,-4.4899044,4.190918285533691,-0.7655167935423464,,,0.789231130252571,1.0890970867397327,1.2833635758819952
NA19466,LWK,African Ancestry,Luhya,9.496190854185565,-3.0980157584794155,23.389706,-5.501814,4.872276888369902,-0.9481147010666766,,,-0.17483001547830776,3.8801798812165056,1.3063158807590975
NA19467,LWK,African Ancestry,Luhya,9.664362738139026,-3.9130194470147925,18.335287,1.9158032,4.418336711170554,-0.8670474627083751,,,0.09700350272968228,0.45345760830617093,-0.07054991343556918
NA19468,LWK,African Ancestry,Luhya,10.047922388615342,-4.094717772390486,23.277311,-5.86858,5.018794163225049,-1.2930364232310407,,,0.6394995091359171,1.0273437998289636,1.8694975605560158
NA19469,LWK,African Ancestry,Luhya,10.571233772481794,-3.4633952502352683,22.342304,-8.374795,5.074213029443482,-0.4015775724542654,,,0.9204224748484229,4.934480975633543,0.3960114546003761
NA19470,LWK,African Ancestry,Luhya,11.155721049123452,-4.317926667701646,22.374855,-8.427772,5.148390833299847,-0.4073943968417546,,,2.380218976881766,4.072057935350572,1.69932863422448
NA19471,LWK,African Ancestry,Luhya,8.455469131035267,-3.526711761278489,17.661156,-7.3416753,4.54721615601513,-0.7648562132321803,,,-0.45725737479977757,2.8149026890601805,-1.375034692563223
NA19472,LWK,African Ancestry,Luhya,9.940525995895987,-3.8834774132606453,18.072657,-3.4232655,6.599354812747423,-1.2274019978289399,,,-0.07772196377448247,3.95698325099498,-2.6595073104601923
